,drug,text,dcpl,flint
110,Protonix,"Pantoprazole can cause kidney problems. Tell your doctor if you are urinating less than usual, or if you have blood in your urine.","

{
  ""object"": ""Pantoprazole"",
  ""event"": ""Kidney problems"",
  ""descriptor"": ""Can cause"",
  ""transformational_rule"": {
    ""condition"": ""#pantoprazole"",
    ""conclusion"": ""#kidney_problems""
  },
  ""reactive_rule"": {
    ""event"": ""#less_urination or #blood_in_urine"",
    ""reaction"": ""+notify_doctor""
  }
}","

Fact medication Identified by String Placeholder pantoprazole Fact kidney - problems Identified by medication Fact urination - less - than - usual Identified by String Placeholder doctor Fact blood - in - urine Identified by String Placeholder doctor Fact not - urinating - less - than - usual Identified by NOT(urination - less - than - usual) Fact not - blood - in - urine Identified by NOT(blood - in - urine) Act inform Actor doctor Recipient patient Creates kidney - problems ( pantoprazole ) Holds when NOT(not - urinating - less - than - usual) OR NOT(not - blood - in - urine)"
111,Protonix,Diarrhea may be a sign of a new infection. Call your doctor if you have diarrhea that is watery or has blood in it.,"

[
  {
    ""event"": ""#diarrhea"",
    ""reaction"": {
      ""entity"": ""#doctor"",
      ""out"": {
        ""reference"": ""#doctor.call""
      }
    },
    ""condition"": {
      ""entity"": ""#diarrhea"",
      ""refinement"": {
        ""reference"": ""#diarrhea.descriptor"",
        ""refinement"": {
          ""entity"": ""#diarrhea.descriptor"",
          ""refinement"": [
            {
              ""reference"": ""Sign of new infection""
            },
            {
              ""reference"": ""Watery""
            },
            {
              ""reference"": ""Blood""
            }
          ]
        }
      }
    }
  }
]","

Fact diarrhea Identified by person
Fact new - infection Identified by person
Fact watery - diarrhea Identified by person
Fact bloody - diarrhea Identified by person

Act call - doctor Actor person Recipient doctor
Creates new - infection ( person )
Creates watery - diarrhea ( person )
Creates bloody - diarrhea ( person )

Holds when new - infection ( person ) || watery - diarrhea ( person ) || bloody - diarrhea ( person )"
112,Protonix,Pantoprazole may cause new or worsening symptoms of lupus. Tell your doctor if you have joint pain and a skin rash on your cheeks or arms that worsens in sunlight.,"

[
  {
    ""reference"": ""#pantoprazole"",
    ""refinement"": {
      ""plus"": {
        ""reference"": ""symptoms"",
        ""refinement"": {
          ""plus"": {
            ""reference"": ""#lupus""
          }
        }
      }
    }
  },
  {
    ""condition"": {
      ""plus"": {
        ""reference"": ""Joint pain"",
        ""refinement"": {
          ""plus"": {
            ""reference"": ""skin rash on cheeks/arms"",
            ""refinement"": {
              ""plus"": {
                ""reference"": ""worsens in sunlight""
              }
            }
          }
        }
      }
    },
    ""conclusion"": {
      ""event"": {
        ""entity"": {
          ""reference"": ""#doctor"",
          ""refinement"": {
            ""action"": {
              ""reference"": ""#notify"",
              ""refinement"": {
                ""target"": {
                  ""reference"": ""#lupus""
                },
                ""symptom"": {
                  ""reference"": ""worsening"",
                  ""refinement"": {
                    ""plus"": {}
                  }
                }
              }
            }
          }
        },
        ""in"": {}
      }
    }
  }
]","

Fact medication Identified by String ""Pantoprazole"" Fact lupus Identified by String ""symptoms"" Fact worsening Identified by String ""new or worsening"" Fact joint - pain Identified by String ""joint pain"" Fact skin - rash Identified by String ""skin rash"" Fact cheeks Identified by String ""cheeks"" Fact arms Identified by String ""arms"" Fact sunlight Identified by String ""sunlight"" Fact doctor Identified by String ""doctor"" Fact tell Identified by String ""Tell"" Fact cause Identified by String ""cause"" Fact may Identified by String ""may"" Act inform Actor doctor Recipient patient Creates worsening - symptoms ( patient , lupus ) Holds when medication ( ""Pantoprazole"" ) && worsening - symptoms ( patient , lupus ) Fact worsening - in - sunlight Identified by String ""worsens in sunlight"" Duty report - symptoms Holder patient Claimant doctor Violated when joint - pain ( patient ) && skin - rash ( patient ) && cheeks ( patient ) && arms ( patient ) && sunlight ( patient )"
113,Protonix,You may be more likely to have a broken bone while taking this medicine long term or more than once per day.,"

[
  {
    ""condition"": {
      ""plus"": ""#medicine.long_term"",
      ""minus"": ""#medicine.more_than_once_per_day""
    },
    ""conclusion"": ""+broken_bone""
  }
]","

Act take - medicine Actor person Recipient person Post-condition Broken - bone ( person ) Holds when taking - medicine ( person ) && ( Long - term ( medicine ) || More - than - once - per - day ( medicine ) )"
114,Protonix,Protonix is not for the immediate relief of heartburn symptoms.,"


[
  {
    ""condition"": {
      ""reference"": ""Protonix"",
      ""refinement"": {
        ""reference"": ""not for immediate relief"",
        ""refinement"": {
          ""reference"": ""heartburn symptoms"",
          ""refinement"": {
            ""reference"": ""medication""
          }
        }
      }
    },
    ""conclusion"": {
      ""reference"": ""Protonix"",
      ""refinement"": {
        ""reference"": ""not for immediate relief""
      }
    },
    ""violation"": {
      ""expression"": ""#use"",
      ""event"": {
        ""reference"": ""#use"",
        ""refinement"": {
          ""reference"": ""-relieve_symptoms""
        }
      }
    }
  }
]","
Fact Protonix Not for Immediate Relief Identified by String Placeholder symptom For symptom Fact Heartburn - symptoms Identified by symptom Fact Immediate - relief Identified by symptom Duty Protonix - not - for - immediate - relief Holder Protonix Claimant symptom Violated when Heartburn - symptoms ( symptom ) NOT Immediate - relief ( symptom )"
115,Lopressor,"You should not use Lopressor HCT if you have a serious heart conditions such as ""sick sinus syndrome"" or ""AV block"" (unless you have a pacemaker), slow heartbeats that have caused you to faint, or if your heart cannot pump blood properly.","

[
  {
    ""condition"": {
      ""position"": ""duty"",
      ""holder"": {
        ""reference"": ""*"",
        ""refinement"": {
          ""reference"": ""Heart condition""
        }
      },
      ""action"": {
        ""reference"": ""use Lopressor HCT""
      }
    },
    ""conclusion"": {
      ""position"": ""prohibition"",
      ""holder"": {
        ""reference"": ""*"",
        ""refinement"": {
          ""reference"": ""Heart condition""
        }
      },
      ""action"": {
        ""reference"": ""use Lopressor HCT""
      }
    }
  },
  {
    ""condition"": {
      ""position"": ""duty"",
      ""holder"": {
        ""reference"": ""*"",
        ""refinement"": {
          ""reference"": {
            ""reference"": ""sick sinus syndrome""
          },
          ""alias"": ""Sick sinus syndrome""
        }
      },
      ""action"": {
        ""reference"": ""use Lopressor HCT""
      }
    },
    ""conclusion"": {
      ""position"": ""prohibition"",
      ""holder"": {
        ""reference"": ""*"",
        ""refinement"": {
          ""reference"": {
            ""reference"": ""AV block""
          },
          ""alias"": ""AV block""
        }
      },
      ""action"": {
        ""reference"": ""use Lopressor HCT""
      }
    }
  },
  {
    ""condition"": {
      ""position"": ""duty"",
      ""holder"": {
        ""reference"": ""*"",
        ""refinement"": {
          ""reference"": ""slow heartbeats"",
          ""alias"": ""Slow heartbeats""
        }
      },
      ""action"": {
        ""reference"": ""use Lopressor HCT""
      }
    },
    ""conclusion"": {
      ""position"": ""prohibition"",
      ""holder"": {
        ""reference"": ""*"",
        ""refinement"": {
          ""reference"": ""fainting"",
          ""alias"": ""Fainting""
        }
      },
      ""action"": {
        ""reference"": ""use Lopressor HCT""
      }
    }
  },
  {
    ""condition"": {
      ""position"": ""duty"",
      ""holder"": {
        ""reference"": ""*"",
        ""refinement"": {
          ""reference"": ""heart cannot pump blood properly"",
          ""alias"": ""Inadequate blood pumping""
        }
      },
      ""action"": {
        ""reference"": ""use Lopressor HCT""
      }
    },
    ""conclusion"": {
      ""position"": ""prohibition"",
      ""holder"": {
        ""reference"": ""*"",
        ""refinement"": {
          ""reference"": ""heart cannot pump blood properly"",
          ""alias"": ""Inadequate blood pumping""
        }
      },
      ""action"": {
        ""reference"": ""use Lopressor HCT""
      }
    }
  },
  {
    ""event"": {
      ""reference"": ""use Lopressor HCT""
    },
    ""reaction"": {
      ""minus"": {
        ""reference"": ""Lopressor HCT""
      }
    }
  },
  {
    ""event"": {
      ""reference"": ""use Lopressor HCT""
    },
    ""reaction"": {
      ""plus"": {
        ""reference"": ""violation""
      }
    }
  },
  {
    ""event"": {
      ""reference"": ""use Lopressor HCT""
    },
    ""reaction"": {
      ""plus"": {
        ""reference"": ""imposition""
      }
    }
  }
]","

Duty do-not-use-lopressor-hct Holder patient Claimant doctor Violated when serious-heart-conditions ( patient ) || slow-heartbeats ( patient ) || heart-cannot-pump-blood ( patient ) Act prescribe-lopressor-hct Actor doctor Recipient patient Terminates do-not-use-lopressor-hct ( patient ) Holds when doctor-prescribes-lopressor-hct ( doctor , patient )"
116,Lopressor,You should not use Lopressor HCT if you are unable to urinate.,"

{
  ""position"": ""prohibition"",
  ""holder"": ""Lopressor HCT"",
  ""counterparty"": ""individual"",
  ""action"": ""use"",
  ""violation"": {
    ""expression"": ""incapable of urinating"",
    ""event"": ""use Lopressor HCT""
  },
  ""termination"": {
    ""expression"": ""unable to urinate"",
    ""event"": ""use Lopressor HCT""
  },
  ""condition"": {
    ""reference"": ""individual"",
    ""refinement"": {
      ""alias"": ""they"",
      ""refinement"": {
        ""reference"": ""urinate"",
        ""refinement"": {
          ""reference"": ""unable"",
          ""refinement"": ""unable to""
        }
      }
    }
  },
  ""conclusion"": {
    ""reference"": ""Lopressor HCT"",
    ""refinement"": {
      ""reference"": ""use"",
      ""refinement"": ""should not""
    }
  },
  ""alias"": ""unable to urinate rule""
}","

Act do-not-use
Actor patient
Recipient Lopressor HCT
Terminates use (patient, Lopressor HCT)
Holds when unable-to-urinate (patient)
Fact patient Identified by patient
Duty do-not-use
Holder patient
Claimant Lopressor HCT
Violated when unable-to-urinate (patient)"
117,Lopressor,"Do not stop using this medicine suddenly, even if you feel fine. Stopping suddenly may cause serious or life-threatening heart problems. Follow your doctor's instructions about tapering your dose.","

{
  ""condition"": ""#medicine.usage"",
  ""conclusion"": ""+stop_abruptly.violation""
}","

Scenario: Stopping Medicine
Statements:
- Do not stop using this medicine suddenly
- Even if you feel fine
- Stopping suddenly may cause serious or life-threatening heart problems
- Follow your doctor's instructions about tapering your dose

Act-Type: Stop Medicine
Performing Actor: Patient
Recipient Actor: Doctor
Post-Conditions:
- May cause serious or life-threatening heart problems

Duty-Type: Follow Doctor's Instructions
Duty Holder: Patient
Claimant: Doctor
Violation Conditions:
- Stopping medicine suddenly"
118,Lopressor,Your blood pressure will need to be checked often. You may also need frequent blood tests.,"

{
  ""descriptor"": [
    ""blood pressure monitor"",
    ""frequent blood tests""
  ],
  ""rule"": [
    {
      ""event"": ""#check_blood_pressure"",
      ""reaction"": ""+blood_pressure_monitor""
    },
    {
      ""condition"": ""#blood_test"",
      ""conclusion"": ""+frequent_blood_tests""
    }
  ]
}","

Fact blood_pressure_check Identified by String Placeholder patient For person Fact frequent - blood_pressure_check Identified by patient Fact blood_test Identified by String Placeholder patient For person Fact frequent - blood_test Identified by patient"
119,Lopressor,Lopressor HCT is not approved for use by anyone younger than 18 years old.,"

[
  {
    ""condition"": {
      ""reference"": ""age"",
      ""refinement"": {
        ""operator"": ""<"",
        ""value"": 18
      }
    },
    ""conclusion"": {
      ""reference"": ""not approved for use""
    },
    ""alias"": ""rule1""
  },
  {
    ""object"": ""Lopressor HCT"",
    ""descriptor"": ""age"",
    ""alias"": ""descriptive_object""
  },
  {
    ""event"": ""~#use by anyone"",
    ""reaction"": {
      ""entity"": ""Lopressor HCT"",
      ""out"": {
        ""reference"": ""rule1""
      }
    },
    ""alias"": ""composite_object""
  },
  {
    ""position"": ""power"",
    ""holder"": ""composite_object"",
    ""action"": ""#use"",
    ""consequence"": {
      ""plus"": {
        ""reference"": ""rule1""
      }
    },
    ""alias"": ""power_frame""
  },
  {
    ""position"": ""duty"",
    ""holder"": ""age"",
    ""counterparty"": ""composite_object"",
    ""action"": ""#use"",
    ""violation"": {
      ""expression"": ""age < 18"",
      ""event"": ""#use""
    },
    ""termination"": {
      ""expression"": ""age >= 18"",
      ""event"": ""#use""
    },
    ""alias"": ""deontic_frame""
  }
]","

Fact medication NotApprovedForUse Identified by String LopressorHCT Fact age Under18 Identified by Integer Placeholder person For person Fact use Identified by medication * person NOT(ApprovedForUse( LopressorHCT, person ))"
120,Robitussen,"Get emergency medical help if you have signs of an allergic reaction: hives; difficulty breathing; swelling of your face, lips, tongue, or throat.","
[
  {
    ""condition"": ""#allergic_reaction"",
    ""conclusion"": ""#emergency_medical_help"",
    ""alias"": null
  },
  {
    ""position"": ""power"",
    ""holder"": ""#allergic_reaction"",
    ""action"": ""#declare_violation"",
    ""consequence"": {
      ""plus"": ""#emergency_medical_help"",
      ""minus"": null
    },
    ""alias"": null
  }
]","

Act get - medical - help
Actor patient
Recipient emergency - services
Post - condition medical - help - received ( patient , emergency - services )
Holds when allergies ( patient )
Event allergic - reaction
Triggered by allergies ( patient )
Creates allergic - reaction ( patient )
Holds when hives ( patient ) || difficulty - breathing ( patient ) || swelling ( patient , face ) || swelling ( patient , lips ) || swelling ( patient , tongue ) || swelling ( patient , throat )"
121,Robitussen,"In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking Robitussin Nighttime Nasal Relief and call your doctor right away if you have skin redness or a rash that spreads and causes blistering and peeling. If you have this type of reaction, you should never again take any medicine that contains acetaminophen.","

[
  {
    ""plus"": ""#severe_skin_reaction"",
    ""minus"": ""#acetaminophen"",
    ""alias"": null
  },
  {
    ""event"": ""#taken_in_past"",
    ""reaction"": {
      ""plus"": ""#no_reaction"",
      ""minus"": null
    },
    ""alias"": null
  },
  {
    ""event"": ""#skin_redness"",
    ""reaction"": {
      ""plus"": ""#call_doctor"",
      ""minus"": null
    },
    ""alias"": null
  },
  {
    ""event"": ""#rash_spreading"",
    ""reaction"": {
      ""plus"": ""#call_doctor"",
      ""minus"": null
    },
    ""alias"": null
  },
  {
    ""position"": ""liberty"",
    ""holder"": ""#medicine"",
    ""action"": ""#contains_acetaminophen"",
    ""consequence"": {
      ""plus"": ""#skin_reaction"",
      ""minus"": null
    },
    ""alias"": null
  },
  {
    ""position"": ""prohibition"",
    ""holder"": null,
    ""counterparty"": null,
    ""action"": ""#never_take_medicine"",
    ""violation"": {
      ""expression"": null,
      ""event"": {
        ""plus"": ""#never_take_medicine"",
        ""minus"": null
      },
      ""alias"": null
    },
    ""termination"": null,
    ""alias"": null
  },
  {
    ""compound"": ""#medicine"",
    ""params"": [
      ""#RobitussinNighttimeNasalRelief"",
      ""#acetaminophen""
    ],
    ""content"": [
      {
        ""plus"": ""#fatal"",
        ""minus"": null,
        ""alias"": ""#severe_skin_reaction""
      }
    ]
  }
]","

Fact rare - reaction Identified by String Acetaminophen Fact severe - skin - reaction Identified by String Fatal Holds when rare - reaction ( Acetaminophen ) Fact past - reaction Identified by String None Fact stop - taking Identified by String Robitussin Nighttime Nasal Relief Fact call - doctor Identified by String Right away Fact skin - redness Identified by String Redness Fact rash Identified by String Spreads Fact blistering Identified by String Peeling Act stop - taking Actor None Recipient None Creates severe - skin - reaction ( Acetaminophen ) Holds when stop - taking ( Robitussin Nighttime Nasal Relief ) Fact never - take Identified by String None Fact contains - acetaminophen Identified by String Medicine Act never - again Actor None Recipient None Terminates contains - acetaminophen ( Medicine ) Holds when severe - skin - reaction ( Acetaminophen )"
122,Robitussen,"Do not use this medicine if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine.","

{
  ""condition"": {
    ""type"": ""string"",
    ""pattern"": ""^(now\\(\\) < 14 days and #MAO_inhibitor)$""
  },
  ""conclusion"": {
    ""position"": ""power"",
    ""holder"": ""this_medicine"",
    ""counterparty"": ""d1"",
    ""action"": ""#declare_violation"",
    ""consequence"": ""+d1.violation""
  }
}","

Fact medicine
Not used if Fact MAO-inhibitor
In past 14 days
Such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine."
123,Robitussen,"Do not take more of this medication than is recommended. An overdose of acetaminophen can damage your liver or cause death. Call your doctor at once if you have nausea, pain in your upper stomach, itching, loss of appetite, dark urine, clay-colored stools, or jaundice (yellowing of your skin or eyes).","

[
  {
    ""event"": ""#take_medication"",
    ""position"": ""power"",
    ""holder"": ""patient"",
    ""action"": {
      ""event"": ""#declare_violation"",
      ""target"": ""medication.recommendation""
    },
    ""consequence"": {
      ""plus"": ""medication.overdose""
    }
  },
  {
    ""event"": ""#symptoms"",
    ""position"": ""power"",
    ""holder"": ""patient"",
    ""action"": {
      ""event"": ""#declare_violation"",
      ""target"": ""doctor""
    },
    ""consequence"": {
      ""plus"": ""doctor.assessment""
    }
  }
]","

Fact medication Dosage is Integer Placeholder
Fact overdose Identified by medication
Holds when Dosage > recommended
Act damage Actor liver
Holds when overdose (medication)
Act cause Actor death
Holds when overdose (medication)
Act call - doctor Actor patient
Recipient doctor
Holds when nausea (patient) || pain (patient, upper stomach) || itching (patient) || loss - of - appetite (patient) || dark - urine (patient) || clay - colored - stools (patient) || jaundice (patient, skin) || jaundice (patient, eyes)"
124,Robitussen,"You should not use this medication if you are allergic to acetaminophen, chlorpheniramine, or phenylephrine.","

{
  ""normative_position"": {
    ""position"": ""prohibition"",
    ""holder"": ""self"",
    ""action"": ""use"",
    ""counterparty"": ""allergic"",
    ""violation"": {
      ""expression"": ""medication.use"",
      ""event"": ""allergic""
    }
  },
  ""transformational_rule"": {
    ""condition"": ""allergic"",
    ""conclusion"": ""#declare_violation"",
    ""alias"": ""violation""
  },
  ""reactive_rule"": {
    ""event"": ""#declare_violation"",
    ""reaction"": ""+violation"",
    ""alias"": ""violation""
  },
  ""descriptors"": [
    ""Medication"",
    ""acetaminophen"",
    ""chlorpheniramine"",
    ""phenylephrine""
  ]
}","
Duty do not use medication
Holder patient
Claimant healthcare provider
Violated when allergic to acetaminophen OR allergic to chlorpheniramine OR allergic to phenylephrine"
125,Valium,"Diazepam can slow or stop your breathing, especially if you have recently used an opioid medication or alcohol.","

[{
  ""minus"": ""*breathing"",
  ""entity"": ""#Diazepam"",
  ""in"": ""*breathing""
}, {
  ""minus"": ""*breathing"",
  ""entity"": ""#opioid_medication"",
  ""in"": ""*breathing""
}, {
  ""minus"": ""*breathing"",
  ""entity"": ""#alcohol"",
  ""in"": ""*breathing""
}]","

Fact medication Identified by String Diazepam Fact opioid - use Identified by medication Fact alcohol - use Identified by medication Fact slowed - breathing Identified by medication Holds when opioid - use ( medication ) || alcohol - use ( medication ) Duty breathing - control Holder patient Claimant healthcare - provider Violated when slowed - breathing ( medication ) Act control - breathing Actor healthcare - provider Recipient patient Creates breathing - control ( healthcare - provider , patient ) Holds when medication ( Diazepam ) "
126,Valium,"You should not use Valium if you are allergic to diazepam or similar medicines (Ativan, Klonopin, Xanax, and others), or if you have myasthenia gravis, severe liver disease, narrow-angle glaucoma, a severe breathing problem, or sleep apnea.","

{
  ""Violation"": {
    ""reference"": ""#should_not_use"",
    ""refinement"": {
      ""position"": ""power"",
      ""holder"": ""user"",
      ""action"": ""#declare_violation"",
      ""consequence"": {
        ""plus"": ""+#use_valium.violation""
      }
    }
  },
  ""Conditions"": [
    {
      ""reference"": ""#allergic_to"",
      ""refinement"": {
        ""type"": ""medicine"",
        ""name"": ""diazepam""
      }
    },
    {
      ""reference"": ""#allergic_to"",
      ""refinement"": {
        ""type"": ""medicine"",
        ""name"": ""Ativan""
      }
    },
    {
      ""reference"": ""#allergic_to"",
      ""refinement"": {
        ""type"": ""medicine"",
        ""name"": ""Klonopin""
      }
    },
    {
      ""reference"": ""#allergic_to"",
      ""refinement"": {
        ""type"": ""medicine"",
        ""name"": ""Xanax""
      }
    },
    {
      ""reference"": ""#allergic_to"",
      ""refinement"": {
        ""type"": ""medicine"",
        ""name"": ""others""
      }
    },
    {
      ""reference"": ""#has_condition"",
      ""refinement"": {
        ""type"": ""disease"",
        ""name"": ""myasthenia_gravis""
      }
    },
    {
      ""reference"": ""#has_condition"",
      ""refinement"": {
        ""type"": ""disease"",
        ""name"": ""severe_liver_disease""
      }
    },
    {
      ""reference"": ""#has_condition"",
      ""refinement"": {
        ""type"": ""disease"",
        ""name"": ""narrow-angle_glaucoma""
      }
    },
    {
      ""reference"": ""#has_condition"",
      ""refinement"": {
        ""type"": ""disease"",
        ""name"": ""severe_breathing_problem""
      }
    },
    {
      ""reference"": ""#has_condition"",
      ""refinement"": {
        ""type"": ""disease"",
        ""name"": ""sleep_apnea""
      }
    }
  ]
}","

Fact person Identified by String Placeholder user Fact allergy Identified by user Fact medication Identified by String Placeholder medication Fact myasthenia - gravis Identified by user Fact liver - disease Identified by user Fact glaucoma Identified by user Fact breathing - problem Identified by user Fact sleep - apnea Identified by user
Duty do - not - use - Valium Holder user Claimant user Violated when (allergy (user) && (medication == ""diazepam"" || medication == ""Ativan"" || medication == ""Klonopin"" || medication == ""Xanax"")) || myasthenia - gravis (user) || liver - disease (user) || glaucoma (user) || breathing - problem (user) || sleep - apnea (user)
Act use - Valium Actor user Recipient none Terminates do - not - use - Valium (user) Holds when NOT (do - not - use - Valium (user))"
127,Valium,"MISUSE OF THIS MEDICINE CAN CAUSE ADDICTION, OVERDOSE, OR DEATH. Keep the medication in a place where others cannot get to it.","


[
  {
    ""condition"": {
      ""entity"": ""#misuse"",
      ""in"": {
        ""object"": ""#medication"",
        ""location"": ""#locked_location"",
        ""access"": ""#cannot_access""
      }
    },
    ""conclusion"": {
      ""plus"": {
        ""entity"": ""#addiction""
      },
      ""minus"": [
        {
          ""entity"": ""#overdose""
        },
        {
          ""entity"": ""#death""
        }
      ]
    }
  }
]","

Fact medicine Identified by medicineName
Duty prevent - misuse
Holder patient
Violated when addiction ( patient ) || overdose ( patient ) || death ( patient )
Act store - safely
Actor patient
Recipient others
Creates cannot - access ( others , medicineName )"
128,Valium,Some people have thoughts about suicide while taking Valium. Stay alert to changes in your mood or symptoms. Your family or caregivers should also watch for sudden changes in your behavior.,"

{
  ""Objects"": [
    ""Person"",
    ""Valium"",
    ""Thought"",
    ""Mood"",
    ""Symptom"",
    ""Family"",
    ""Caregiver"",
    ""Behavior""
  ],
  ""Events"": [
    ""Change in mood"",
    ""Change in behavior""
  ],
  ""Descriptors"": [
    ""Taking Valium"",
    ""Having thoughts about suicide"",
    ""Being alert""
  ],
  ""Rules"": [
    {
      ""condition"": {
        ""reference"": ""Person"",
        ""refinement"": {
          ""reference"": ""Valium"",
          ""refinement"": {
            ""reference"": ""Thought"",
            ""refinement"": {
              ""reference"": ""suicide"",
              ""refinement"": {}
            }
          }
        }
      },
      ""conclusion"": {
        ""plus"": {
          ""holder"": ""Person"",
          ""action"": ""#be_alert"",
          ""consequence"": {
            ""plus"": {
              ""reference"": ""Thought"",
              ""refinement"": {
                ""reference"": ""suicide"",
                ""refinement"": {}
              }
            }
          }
        }
      }
    },
    {
      ""condition"": {
        ""reference"": ""Person"",
        ""refinement"": {
          ""reference"": ""Mood"",
          ""refinement"": {}
        }
      },
      ""conclusion"": {
        ""plus"": {
          ""holder"": ""Person"",
          ""action"": ""#be_alert"",
          ""consequence"": {
            ""plus"": {
              ""reference"": ""Mood"",
              ""refinement"": {}
            }
          }
        }
      }
    },
    {
      ""condition"": {
        ""reference"": ""Person"",
        ""refinement"": {
          ""reference"": ""Symptom"",
          ""refinement"": {}
        }
      },
      ""conclusion"": {
        ""plus"": {
          ""holder"": ""Person"",
          ""action"": ""#be_alert"",
          ""consequence"": {
            ""plus"": {
              ""reference"": ""Symptom"",
              ""refinement"": {}
            }
          }
        }
      }
    },
    {
      ""condition"": {
        ""reference"": ""Family"",
        ""refinement"": {}
      },
      ""conclusion"": {
        ""plus"": {
          ""holder"": ""Family"",
          ""action"": ""#be_alert"",
          ""consequence"": {
            ""plus"": {
              ""reference"": ""Behavior"",
              ""refinement"": {}
            }
          }
        }
      }
    },
    {
      ""condition"": {
        ""reference"": ""Caregiver"",
        ""refinement"": {}
      },
      ""conclusion"": {
        ""plus"": {
          ""holder"": ""Caregiver"",
          ""action"": ""#be_alert"",
          ""consequence"": {
            ""plus"": {
              ""reference"": ""Behavior"",
              ""refinement"": {}
            }
          }
        }
      }
    }
  ],
  ""Composite Objects"": [
    {
      ""compound"": ""Monitoring of mood and symptoms by Person and Family/Caregiver"",
      ""params"": [
        ""Person"",
        ""Family/Caregiver""
      ],
      ""content"": [
        {
          ""condition"": {
            ""reference"": ""Person"",
            ""refinement"": {
              ""reference"": ""Mood"",
              ""refinement"": {}
            }
          },
          ""conclusion"": {
            ""plus"": {
              ""holder"": ""Person"",
              ""action"": ""#be_alert"",
              ""consequence"": {
                ""plus"": {
                  ""reference"": ""Mood"",
                  ""refinement"": {}
                }
              }
            }
          }
        },
        {
          ""condition"": {
            ""reference"": ""Person"",
            ""refinement"": {
              ""reference"": ""Symptom"",
              ""refinement"": {}
            }
          },
          ""conclusion"": {
            ""plus"": {
              ""holder"": ""Person"",
              ""action"": ""#be_alert"",
              ""consequence"": {
                ""plus"": {
                  ""reference"": ""Symptom"",
                  ""refinement"": {}
                }
              }
            }
          }
        },
        {
          ""condition"": {
            ""reference"": ""Family"",
            ""refinement"": {}
          },
          ""conclusion"": {
            ""plus"": {
              ""holder"": ""Family"",
              ""action"": ""#be_alert"",
              ""consequence"": {
                ""plus"": {
                  ""reference"": ""Mood"",
                  ""refinement"": {}
                }
              }
            }
          }
        },
        {
          ""condition"": {
            ""reference"": ""Family"",
            ""refinement"": {}
          },
          ""conclusion"": {
            ""plus"": {
              ""holder"": ""Family"",
              ""action"": ""#be_alert"",
              ""consequence"": {
                ""plus"": {
                 ","

Fact person Identified by String Placeholder user For person Fact has - thoughts - about - suicide Identified by user while taking Valium Fact change - in - mood Identified by user Fact change - in - symptoms Identified by user Duty stay - alert Holder user Claimant user Violated when has - thoughts - about - suicide ( user ) || change - in - mood ( user ) || change - in - symptoms ( user ) Duty watch - for - changes Holder family || caregivers Claimant user Violated when change - in - behavior ( user )"
129,Valium,"Never share this medicine with another person, especially someone with a history of drug addiction.","

{
  ""condition"": [""#medicine"", ""#never_share""],
  ""conclusion"": {
    ""action"": {
      ""target"": ""#person"",
      ""history"": ""= #drug_addiction""
    },
    ""consequence"": ""+violation""
  }
}","

Fact medicine Identified by medicine
Fact person Identified by person 
Duty not - share - medicine Holder person Claimant person Violated when drug - addiction ( person )"
